 INFO  Accepting connections at http://localhost:3001
 HTTP  5/2/2026 10:21:12 AM ::1 GET /site-content.js
 HTTP  5/2/2026 10:21:12 AM ::1 Returned 200 in 4 ms
 HTTP  5/2/2026 10:21:12 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:21:12 AM ::1 Returned 200 in 5 ms
 HTTP  5/2/2026 10:21:13 AM ::1 GET /sw.js
 HTTP  5/2/2026 10:21:13 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:13 AM ::1 GET /
 HTTP  5/2/2026 10:21:13 AM ::1 GET /index.html
 HTTP  5/2/2026 10:21:13 AM ::1 Returned 301 in 1 ms
 HTTP  5/2/2026 10:21:13 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:21:13 AM ::1 Returned 200 in 5 ms
 HTTP  5/2/2026 10:21:13 AM ::1 GET /index
 HTTP  5/2/2026 10:21:13 AM ::1 Returned 301 in 2 ms
 HTTP  5/2/2026 10:21:13 AM ::1 Returned 200 in 4 ms
 HTTP  5/2/2026 10:21:13 AM ::1 GET /favicon.ico
 HTTP  5/2/2026 10:21:13 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:21:13 AM ::1 GET /
 HTTP  5/2/2026 10:21:13 AM ::1 Returned 304 in 3 ms
 HTTP  5/2/2026 10:21:13 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:21:13 AM ::1 Returned 304 in 3 ms
 HTTP  5/2/2026 10:21:13 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:21:13 AM ::1 Returned 404 in 9 ms
 HTTP  5/2/2026 10:21:14 AM ::1 GET /portal
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 200 in 4 ms
 HTTP  5/2/2026 10:21:14 AM ::1 GET /site-content.js
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:14 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:14 AM ::1 GET /sw.js
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:14 AM ::1 GET /
 HTTP  5/2/2026 10:21:14 AM ::1 GET /index.html
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 301 in 0 ms
 HTTP  5/2/2026 10:21:14 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 200 in 4 ms
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 200 in 3 ms
 HTTP  5/2/2026 10:21:14 AM ::1 GET /favicon.ico
 HTTP  5/2/2026 10:21:14 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:21:14 AM ::1 GET /index
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 301 in 2 ms
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 304 in 4 ms
 HTTP  5/2/2026 10:21:14 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 304 in 1 ms
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 404 in 9 ms
 HTTP  5/2/2026 10:21:14 AM ::1 GET /
 HTTP  5/2/2026 10:21:14 AM ::1 Returned 304 in 1 ms
 HTTP  5/2/2026 10:21:28 AM ::1 GET /portal
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:28 AM ::1 GET /site-content.js
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 200 in 1 ms
